adid,bkid
74,399
85,405
44,2554
81,441
397,2534
260,477
144,493
134,6077
236,532
226,566
135,575
1062,643
903,664
780,6143
572,673
661,2061
554,687
1067,693
436,702
434,737
1037,739
437,748
432,777
362,778
585,928
621,957
609,967
906,1016
594,1038
375,1039
404,1040
796,1046
381,1090
552,1123
528,1129
456,1132
1075,1144
301,1148
516,1149
353,1155
319,1157
339,1192
359,1202
572,1219
461,1220
339,1225
525,1233
1067,1238
316,1239
987,1243
353,1264
303,1294
570,1295
431,1319
184,1322
354,1323
127,1324
806,1326
99,1328
456,1343
103,1359
755,1360
152,1375
282,1390
528,1408
181,1417
32,1427
476,1432
763,1446
517,1455
240,1467
357,1474
749,1476
1088,1484
150,1486
1035,1491
742,1494
127,1501
267,1504
41,1505
361,1506
127,1517
141,1519
221,1526
374,1528
270,1529
735,1538
307,1541
390,1542
1035,1545
541,1547
209,1548
584,1549
1089,1550
381,1555
1071,1558
174,1564
629,1565
234,1566
309,1569
778,1572
398,1573
165,1578
1091,1579
796,1580
46,1582
146,1584
733,1586
290,1588
839,1589
109,1594
381,1595
685,1597
525,1599
219,1600
419,1602
584,1603
152,1608
168,1609
893,1610
280,1611
157,1612
102,1614
30,1616
773,1619
356,1620
289,1621
581,1622
338,1623
992,1624
138,1625
544,1626
513,1630
1056,1631
720,1633
161,1635
89,1638
29,1639
747,1640
911,1643
435,1646
157,1647
127,1648
229,1654
290,1656
289,1659
106,1663
188,1666
46,1667
1094,1668
661,1669
100,1670
57,1672
682,1676
183,1678
117,1679
13,1680
290,1681
584,1682
665,1683
958,1684
127,1688
141,1699
278,1704
166,1705
353,1706
164,1708
164,1709
177,1710
1059,1712
558,1715
892,1716
170,1717
51,1719
1035,1720
360,1724
796,1727
290,74
719,6041
288,80
290,81
715,111
472,114
242,121
52,130
145,153
146,239
103,280
142,286
57,311
81,320
312,325
46,423
111,6067
168,450
278,451
236,454
7,484
285,6082
160,510
101,513
52,6084
106,538
184,541
50,542
765,562
93,588
793,603
25,610
168,623
267,624
546,672
1038,703
327,730
270,1382
309,807
522,1426
1070,825
585,826
423,841
424,860
361,888
360,890
584,904
786,912
610,932
607,955
419,956
629,958
379,1002
773,1008
366,1043
611,1048
621,1054
374,1055
906,1060
480,1069
1018,1110
610,6149
1067,1128
1078,1177
727,1229
540,1263
544,1269
356,1282
958,1301
92,1307
286,1546
195,1563
111,1574
1058,1604
229,1607
177,1627
161,1636
360,5697
433,1645
578,1651
437,1658
47,1685
256,1687
501,1695
52,1701
429,1722
760,1728
183,1733
572,1734
1097,1736
661,1737
760,1738
111,1740
619,1741
369,1745
1058,1746
161,1748
361,1749
587,1750
127,1753
1033,1755
837,1757
670,1759
775,1761
806,1763
802,1769
386,1771
688,1772
1098,1773
595,1774
786,1775
666,1776
1007,1777
607,2234
702,1780
415,1781
695,1786
394,1785
710,1789
487,1791
423,1792
411,1795
826,1798
18,1799
722,1800
725,1801
905,1802
1061,2040
362,1804
709,1807
677,1808
330,1809
364,1810
44,2051
1002,1813
602,1815
789,1817
993,1818
803,1821
368,1822
423,1827
602,1828
880,1830
786,1831
790,1832
807,1834
762,1836
331,1838
709,1839
1004,1840
1026,1841
689,1843
993,1845
678,1848
13,1849
668,1851
789,1852
585,1853
706,1855
1017,1857
705,1858
672,1859
695,1861
331,1862
415,1865
